player_slug,version,name,full_name,description,image,height_cm,weight_kg,dob,positions,best_position,overall_rating,potential,value,wage,preferred_foot,weak_foot,skill_moves,international_reputation,body_type,real_face,release_clause,specialities,club_id,club_name,club_league_id,club_league_name,club_logo,club_position,club_kit_number,club_joined,club_contract_valid_until,country_id,country_name,country_league_id,country_league_name,country_flag,country_position,country_kit_number,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,fk_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,composure,defensive_awareness,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes,play_styles
kevin-de-bruyne,2025-07-17,Kevin De Bruyne,Kevin De Bruyne,"Kevin De Bruyne (born 28 June 1991) is a Belgian footballer who plays as a center midfield for British club Manchester City. In the game FC 25, his overall rating is 89.",https://cdn.sofifa.net/players/192/985/25_120.png,181,75,1991-06-28,"CM,CAM",CM,89,89,€63.5M,€270K,Right,5,4,5,Unique,Yes,€117.5M,"Playmaker,Distance shooter,Crosser,Complete midfielder",10.0,Manchester City,13.0,Premier League,https://cdn.sofifa.net/meta/team/9/30.png,CAM,17.0,2015-08-30,2025,,,,,,,,94,84,55,93,83,85,93,83,93,91,67,67,73,90,75,92,71,70,75,90,75,66,87,94,83,87,66,70,53,15,13,5,10,13,"Long Ball Pass +,Dead Ball,Incisive Pass,Pinged Pass,Whipped Cross,Trivela,Injury Prone,Leadership"
thibaut-courtois,2025-07-17,Thibaut Nicolas Marc Courtois,Thibaut Nicolas Marc Courtois,"Thibaut Courtois (Thibaut Nicolas Marc Courtois, born 11 May 1992) is a Belgian footballer who plays as a goalkeeper for Spanish club Real Madrid. In the game FC 25, his overall rating is 89.",https://cdn.sofifa.net/players/192/119/25_120.png,200,96,1992-05-11,GK,GK,89,89,€51M,€220K,Left,3,1,5,Unique,Yes,€104.6M,,243.0,Real Madrid,53.0,La Liga,https://cdn.sofifa.net/meta/team/3468/30.png,GK,1.0,2018-08-09,2026,,,,,,,,14,14,13,33,12,13,19,20,35,23,42,52,63,88,45,57,68,38,70,17,23,15,13,44,27,66,20,18,16,85,89,76,88,90,"1v1 Close Down +,Far Throw,Cross Claimer"
robert-lewandowski,2025-07-17,Robert Lewandowski,Robert Lewandowski,"Robert Lewandowski (born 21 August 1988) is a Polish footballer who plays as a striker for Spanish club FC Barcelona, and the Poland national team. In the game FC 25, his overall rating is 89.",https://cdn.sofifa.net/players/188/545/25_120.png,185,81,1988-08-21,ST,ST,89,89,€44M,€210K,Right,4,4,5,Unique,Yes,€90.2M,Clinical finisher,241.0,FC Barcelona,53.0,La Liga,https://cdn.sofifa.net/meta/team/83/30.png,ST,9.0,2022-07-18,2026,1353.0,Poland,78.0,Friendly International,https://cdn.sofifa.net/meta/team/18699/30.png,ST,9.0,76,92,88,84,86,85,79,84,70,90,76,75,77,89,83,89,92,76,89,82,81,49,90,81,90,87,35,42,19,15,6,12,8,10,"Chip Shot +,Finesse Shot,Power Shot,Power Header,Incisive Pass,First Touch,Trivela,Solid Player"
jamal-musiala,2025-07-17,Jamal Musiala,Jamal Musiala,"Jamal Musiala (born 26 February 2003) is a German footballer who plays as a central attacking midfielder for German club FC Bayern München, and the Germany national team. In the game FC 25, his overall rating is 88.",https://cdn.sofifa.net/players/256/790/25_120.png,184,72,2003-02-26,"CAM,LM,CM",CAM,88,92,€133.5M,€95K,Right,4,5,4,Lean (170-185),Yes,€230.3M,"Dribbler,Acrobat,Clinical finisher,Complete forward",21.0,FC Bayern München,19.0,Bundesliga,https://cdn.sofifa.net/meta/team/503/30.png,CAM,42.0,2020-06-03,2030,1337.0,Germany,78.0,Friendly International,https://cdn.sofifa.net/meta/team/18660/30.png,RAM,10.0,67,86,74,86,75,94,75,59,79,84,87,80,94,89,93,80,79,78,59,81,59,65,89,84,61,83,64,62,64,6,9,8,8,11,"Technical +,Incisive Pass,Flair,Trickster"
bukayo-saka,2025-07-17,Bukayo Saka,Bukayo Saka,"Bukayo Saka (born 5 September 2001) is a British footballer who plays as a right winger for British club Arsenal, and the England national team. In the game FC 25, his overall rating is 88.",https://cdn.sofifa.net/players/246/669/25_120.png,178,65,2001-09-05,"RW,RM",RW,88,90,€121M,€210K,Left,4,3,4,Lean (170-185),Yes,€232.9M,"Dribbler,Crosser",1.0,Arsenal,13.0,Premier League,https://cdn.sofifa.net/meta/team/19/30.png,RW,7.0,2018-09-14,2027,1318.0,England,78.0,Friendly International,https://cdn.sofifa.net/meta/team/18645/30.png,RES,25.0,89,85,49,85,79,89,87,74,77,88,88,84,85,87,88,79,73,86,68,83,68,62,85,86,87,82,60,62,60,7,8,13,9,13,"Whipped Cross +,Finesse Shot,Technical,Flair"
federico-valverde,2025-07-17,Federico Santiago Valverde Dipetta,Federico Santiago Valverde Dipetta,"Federico Valverde (Federico Santiago Valverde Dipetta, born 22 July 1998) is a Uruguayan footballer who plays as a center midfield for Spanish club Real Madrid. In the game FC 25, his overall rating is 88.",https://cdn.sofifa.net/players/239/053/25_120.png,182,74,1998-07-22,"CM,CDM,RB",CM,88,91,€120M,€300K,Right,4,3,4,Unique,Yes,€255M,"Playmaker,Distance shooter,Complete midfielder",243.0,Real Madrid,53.0,La Liga,https://cdn.sofifa.net/meta/team/3468/30.png,LCM,8.0,2016-07-22,2029,,,,,,,,78,79,63,87,78,83,76,69,88,88,84,91,77,89,68,91,83,92,82,89,81,83,86,86,59,84,79,85,80,6,10,6,15,8,"Power Shot +,Long Ball Pass,Rapid,Relentless,Trivela,Team Player"
raphael-dias-belloli,2025-07-17,Raphinha,Raphael Dias Belloli,"Raphinha (born 14 December 1996) is a Brazilian footballer who plays as a left midfield for Spanish club FC Barcelona. In the game FC 25, his overall rating is 88.",https://cdn.sofifa.net/players/233/419/25_120.png,176,68,1996-12-14,"LM,RW",LM,88,88,€97.5M,€220K,Left,4,4,4,Lean (170-185),Yes,€199.9M,"Speedster,Dribbler,Crosser,Acrobat,Clinical finisher,Complete forward",241.0,FC Barcelona,53.0,La Liga,https://cdn.sofifa.net/meta/team/83/30.png,LM,11.0,2022-07-13,2028,,,,,,,,86,87,74,83,72,88,85,79,78,87,90,91,88,86,79,83,82,88,65,82,77,56,86,85,78,85,49,54,38,8,7,13,8,14,"Rapid +,Finesse Shot,Power Shot,Flair,Trickster,Quick Step,Relentless"
lautaro-martinez,2025-07-17,Lautaro Javier Martínez,Lautaro Javier Martínez,"Lautaro Martínez (Lautaro Javier Martínez, born 22 August 1997) is an Argentine footballer who plays as a striker for Italian club Inter, and the Argentina national team. In the game FC 25, his overall rating is 88.",https://cdn.sofifa.net/players/231/478/25_120.png,174,72,1997-08-22,ST,ST,88,88,€101.5M,€185K,Right,4,4,4,Unique,Yes,€167.5M,"Acrobat,Clinical finisher",44.0,Inter,31.0,Serie A,https://cdn.sofifa.net/meta/team/2930/30.png,LS,10.0,2018-07-04,2029,1369.0,Argentina,78.0,Friendly International,https://cdn.sofifa.net/meta/team/18644/30.png,ST,22.0,68,93,86,78,92,81,80,65,72,84,83,79,88,92,92,87,93,83,85,80,87,48,92,79,74,88,45,51,44,11,8,8,8,13,"Power Shot,Incisive Pass,Technical,Relentless"
joshua-kimmich,2025-07-17,Joshua Walter Kimmich,Joshua Walter Kimmich,"Joshua Kimmich (Joshua Walter Kimmich, born 8 February 1995) is a German footballer who plays as a central defensive midfielder for German club FC Bayern München, and the Germany national team. In the game FC 25, his overall rating is 88.",https://cdn.sofifa.net/players/212/622/25_120.png,177,75,1995-02-08,"CDM,RB",CDM,88,88,€78M,€125K,Right,4,3,4,Normal (170-185),Yes,€128.7M,Crosser,21.0,FC Bayern München,19.0,Bundesliga,https://cdn.sofifa.net/meta/team/503/30.png,RDM,6.0,2015-07-01,2029,1337.0,Germany,78.0,Friendly International,https://cdn.sofifa.net/meta/team/18660/30.png,RM,6.0,92,68,72,89,69,82,85,79,92,86,75,59,83,88,84,78,77,88,68,83,86,84,78,85,71,86,82,84,84,8,15,7,15,15,"Long Ball Pass +,Finesse Shot,Whipped Cross,Anticipate,Press Proven,Relentless,Leadership"
antonio-rudiger,2025-07-17,Antonio Rüdiger,Antonio Rüdiger,"Antonio Rüdiger (born 3 March 1993) is a German footballer who plays as a center back for Spanish club Real Madrid, and the Germany national team. In the game FC 25, his overall rating is 88.",https://cdn.sofifa.net/players/205/452/25_120.png,190,85,1993-03-03,CB,CB,88,88,€62.5M,€310K,Right,3,2,4,Lean (185+),Yes,€128.1M,"Tackling,Strength",243.0,Real Madrid,53.0,La Liga,https://cdn.sofifa.net/meta/team/3468/30.png,LCB,22.0,2022-07-01,2026,1337.0,Germany,78.0,Friendly International,https://cdn.sofifa.net/meta/team/18660/30.png,RCB,2.0,68,40,83,84,34,69,50,56,81,74,71,91,56,86,50,84,89,70,91,67,92,85,54,61,40,80,86,88,87,14,15,10,12,8,"Bruiser +,Jockey,Block,Acrobatic,Aerial"
jan-oblak,2025-07-17,Jan Oblak,Jan Oblak,"Jan Oblak (born 7 January 1993) is a Slovenian footballer who plays as a goalkeeper for Spanish club Atlético Madrid. In the game FC 25, his overall rating is 88.",https://cdn.sofifa.net/players/200/389/25_120.png,188,87,1993-01-07,GK,GK,88,88,€48.5M,€87K,Right,3,1,4,Unique,Yes,€101.9M,,240.0,Atlético Madrid,53.0,La Liga,https://cdn.sofifa.net/meta/team/7980/30.png,GK,13.0,2014-07-16,2028,,,,,,,,13,11,15,43,13,12,13,14,40,30,42,53,64,85,48,59,72,42,78,12,36,24,11,67,11,68,27,14,18,85,90,78,86,87,"Far Reach +,Far Throw,Cross Claimer"
marc-andre-ter-stegen,2025-07-17,Marc-André ter Stegen,Marc-André ter Stegen,"Marc-André ter Stegen (born 30 April 1992) is a German footballer who plays as a goalkeeper for Spanish club FC Barcelona. In the game FC 25, his overall rating is 88.",https://cdn.sofifa.net/players/192/448/25_120.png,187,85,1992-04-30,GK,GK,88,88,€45M,€145K,Right,4,1,4,Unique,Yes,€92.3M,,241.0,FC Barcelona,53.0,La Liga,https://cdn.sofifa.net/meta/team/83/30.png,RES,1.0,2014-07-01,2028,,,,,,,,18,14,11,61,14,21,18,12,63,30,45,50,39,85,43,67,72,35,78,10,43,22,11,70,25,70,25,13,10,85,85,89,85,90,"Footwork +,1v1 Close Down"
cole-palmer,2025-07-17,Cole Jermaine Palmer,Cole Jermaine Palmer,"Cole Palmer (Cole Jermaine Palmer, born 6 May 2002) is a British footballer who plays as a central attacking midfielder for British club Chelsea, and the England national team. In the game FC 25, his overall rating is 87.",https://cdn.sofifa.net/players/257/534/25_120.png,185,76,2002-05-06,"CAM,RM",CAM,87,90,€111M,€185K,Left,3,4,4,Lean (185+),Yes,€219.2M,"Dribbler,Playmaker,Complete midfielder",5.0,Chelsea,13.0,Premier League,https://cdn.sofifa.net/meta/team/18/30.png,CAM,20.0,2023-09-01,2033,1318.0,England,78.0,Friendly International,https://cdn.sofifa.net/meta/team/18645/30.png,RES,24.0,85,85,62,87,70,87,86,81,86,89,76,78,81,88,81,85,72,81,62,85,63,52,87,89,90,89,45,53,40,7,6,10,14,14,"Incisive Pass +,Finesse Shot,Dead Ball,Whipped Cross,Technical,Flair,First Touch,Solid Player"
pedro-gonzalez-lopez,2025-07-17,Pedri,Pedro González López,"Pedri (born 25 November 2002) is a Spanish footballer who plays as a center midfield for Spanish club FC Barcelona, and the Spain national team. In the game FC 25, his overall rating is 87.",https://cdn.sofifa.net/players/251/854/25_120.png,174,60,2002-11-25,"CM,CDM",CM,87,90,€110M,€150K,Right,4,4,4,Lean (170-185),Yes,€233.8M,"Dribbler,Playmaker,Acrobat,Complete midfielder",241.0,FC Barcelona,53.0,La Liga,https://cdn.sofifa.net/meta/team/83/30.png,LDM,8.0,2020-08-04,2030,1362.0,Spain,78.0,Friendly International,https://cdn.sofifa.net/meta/team/18710/30.png,RCM,20.0,68,72,50,89,56,89,79,62,86,90,79,76,88,87,90,68,72,88,73,68,62,79,79,89,53,90,74,77,65,12,7,11,8,8,"Tiki Taka +,Incisive Pass,Long Ball Pass,Technical,First Touch,Relentless"
william-saliba,2025-07-17,William Alain André Gabriel Saliba,William Alain André Gabriel Saliba,"William Saliba (William Alain André Gabriel Saliba, born 24 March 2001) is a French footballer who plays as a center back for British club Arsenal, and the France national team. In the game FC 25, his overall rating is 87.",https://cdn.sofifa.net/players/243/715/25_120.png,193,85,2001-03-24,CB,CB,87,89,€92M,€170K,Right,3,2,4,Normal (185+),Yes,€177.1M,"Tackling,Tactician,Strength,Complete defender",1.0,Arsenal,13.0,Premier League,https://cdn.sofifa.net/meta/team/19/30.png,RCB,2.0,2019-07-25,2027,1335.0,France,78.0,Friendly International,https://cdn.sofifa.net/meta/team/18647/30.png,LCB,17.0,58,35,79,84,34,74,55,35,79,82,77,86,53,86,46,60,89,72,88,23,83,86,54,62,47,85,88,89,86,7,10,6,8,11,"Anticipate +,Jockey"
alessandro-bastoni,2025-07-17,Alessandro Bastoni,Alessandro Bastoni,"Alessandro Bastoni (born 13 April 1999) is an Italian footballer who plays as a center back for Italian club Inter, and the Italy national team. In the game FC 25, his overall rating is 87.",https://cdn.sofifa.net/players/237/383/25_120.png,190,75,1999-04-13,CB,CB,87,89,€88.5M,€140K,Left,2,2,4,Normal (185+),Yes,€152.7M,"Tackling,Tactician",44.0,Inter,31.0,Serie A,https://cdn.sofifa.net/meta/team/2930/30.png,LCB,95.0,2017-08-30,2028,1343.0,Italy,78.0,Friendly International,https://cdn.sofifa.net/meta/team/18658/30.png,LCB,21.0,72,39,86,80,44,74,64,41,84,82,71,77,64,88,61,59,89,81,84,48,83,86,39,72,50,85,87,89,85,11,5,9,11,12,"Intercept +,Pinged Pass,Long Ball Pass,Whipped Cross,Block,Relentless,Team Player"
declan-rice,2025-07-17,Declan Rice,Declan Rice,"Declan Rice (born 14 January 1999) is a British footballer who plays as a central defensive midfielder for British club Arsenal, and the England national team. In the game FC 25, his overall rating is 87.",https://cdn.sofifa.net/players/234/378/25_120.png,185,80,1999-01-14,"CDM,CM",CDM,87,88,€85M,€190K,Right,3,3,4,Normal (185+),Yes,€163.6M,"Crosser,Tackling,Tactician",1.0,Arsenal,13.0,Premier League,https://cdn.sofifa.net/meta/team/19/30.png,LCM,41.0,2023-07-15,2028,1318.0,England,78.0,Friendly International,https://cdn.sofifa.net/meta/team/18645/30.png,LDM,4.0,88,64,72,85,50,82,86,75,86,84,71,75,55,85,65,87,82,92,81,82,85,86,77,80,71,86,85,86,85,8,11,14,5,9,"Dead Ball,Whipped Cross,Block,Press Proven,Relentless,Solid Player"
gabriel-dos-s-magalhaes,2025-07-17,Gabriel,Gabriel dos Santos Magalhães,"Gabriel (Gabriel dos Santos Magalhães, born 19 December 1997) is a Brazilian footballer who plays as a center back for British club Arsenal. In the game FC 25, his overall rating is 87.",https://cdn.sofifa.net/players/232/580/25_120.png,190,87,1997-12-19,CB,CB,87,88,€82.5M,€195K,Left,2,2,4,Normal (185+),Yes,€158.8M,"Aerial threat,Tackling,Tactician,Strength,Complete defender",1.0,Arsenal,13.0,Premier League,https://cdn.sofifa.net/meta/team/19/30.png,SUB,6.0,2020-09-01,2027,,,,,,,,38,37,90,80,28,59,47,27,76,71,61,76,51,87,37,62,87,71,87,30,87,87,52,63,40,77,88,88,86,12,8,13,10,7,"Bruiser +,Power Header,Aerial,Leadership"
victor-osimhen,2025-07-17,Victor James Osimhen,Victor James Osimhen,"Victor Osimhen (Victor James Osimhen, born 29 December 1998) is a Nigerian footballer who plays as a striker for Turkish club Galatasaray SK, on loan from Napoli. In the game FC 25, his overall rating is 87.",https://cdn.sofifa.net/players/232/293/25_120.png,186,77,1998-12-29,ST,ST,87,89,€101.5M,€195K,Right,4,3,4,Normal (185+),Yes,,Speedster,325.0,Galatasaray SK,68.0,Süper Lig,https://cdn.sofifa.net/meta/team/34/30.png,ST,45.0,,"Jun 30, 2025",,,,,,,,62,88,89,72,85,80,63,52,54,84,90,92,78,89,67,86,95,81,86,74,68,34,92,70,85,80,36,45,22,14,14,10,9,6,"Chip Shot,Power Header,Rapid,Acrobatic"
ousmane-dembele,2025-07-17,Masour Ousmane Dembélé,Masour Ousmane Dembélé,"Ousmane Dembélé (Masour Ousmane Dembélé, born 15 May 1997) is a French footballer who plays as a right winger for French club Paris Saint-Germain, and the France national team. In the game FC 25, his overall rating is 87.",https://cdn.sofifa.net/players/231/443/25_120.png,178,67,1997-05-15,"RW,ST",RW,87,87,€85M,€155K,Left,5,5,4,Unique,Yes,€157.3M,"Speedster,Dribbler,Acrobat",73.0,Paris Saint-Germain,16.0,Ligue 1,https://cdn.sofifa.net/meta/team/591/30.png,ST,10.0,2023-08-12,2028,1335.0,France,78.0,Friendly International,https://cdn.sofifa.net/meta/team/18647/30.png,RW,7.0,84,82,64,82,76,89,84,68,78,87,94,91,94,84,81,87,75,76,54,77,54,38,85,84,80,84,42,42,34,6,6,14,10,13,"Rapid +,Pinged Pass,Flair,Trickster,Quick Step"
gianluigi-donnarumma,2025-07-17,Gianluigi Donnarumma,Gianluigi Donnarumma,"Gianluigi Donnarumma (born 25 February 1999) is an Italian footballer who plays as a goalkeeper for French club Paris Saint-Germain, and the Italy national team. In the game FC 25, his overall rating is 87.",https://cdn.sofifa.net/players/230/621/25_120.png,196,90,1999-02-25,GK,GK,87,89,€76M,€83K,Right,3,1,4,Unique,Yes,€146.3M,,73.0,Paris Saint-Germain,16.0,Ligue 1,https://cdn.sofifa.net/meta/team/591/30.png,GK,1.0,2021-07-15,2026,1343.0,Italy,78.0,Friendly International,https://cdn.sofifa.net/meta/team/18658/30.png,GK,1.0,12,12,12,36,8,28,12,14,34,30,50,55,57,82,38,53,72,41,75,18,30,26,14,60,24,54,21,14,16,90,83,70,85,89,"Deflector +,Footwork,Solid Player"
